ew_mass,sq_mass,eff,eff_err
150,700,0.00039000026725179,0.00022516657477574
150,800,0.00038999937092051,0.00022516668635500002
150,900,0.00156,0.00045033291917197997
150,1000,0.0019500000000000001,0.00050348755474511
150,1100,0.00285999999999987,0.00060975456933378
150,1200,0.0046799802052224,0.00077999745623969
150,1300,0.006500000000000001,0.00091923865715006
150,1400,0.01079001468853828,0.00118435628116364
150,1500,0.0118299993257641,0.0012401203319593402
150,1600,0.03622888243058552,0.00412864936534726
150,1700,0.014690011886986801,0.00138192034474351
150,1800,0.01481999439268933,0.00138801822181672
150,2000,0.04207760272723528,0.0045373388915621
150,2200,0.05521394441419961,0.00521724975565989
250,700,0.03739256645048366,0.00426127590562856
250,800,0.00051999937247401,0.00025999997404407
250,900,0.00026000027631370003,0.00018384788357441999
250,1000,0.0015599994252869002,0.00045033321202038
250,1100,0.00272999885735252,0.00059573412886884
250,1200,0.00558997689907267,0.0008524630738318501
250,1300,0.006110003286082541,0.0008912346962074401
250,1400,0.008709991702106111,0.00106409574976198
250,1500,0.009489980504011541,0.00111072098526155
250,1600,0.03749510777394265,0.00430100039632913
250,1700,0.04492858860111635,0.0046841294688955
250,1800,0.04304620303061858,0.0045374704487216
250,2000,0.045242489332545315,0.004666405291730001
250,2200,0.0466458133267438,0.0048631606073544
400,700,0.00013000000000000002,9.192385533787256e-05
400,800,0.00019499932924745,0.00011258306569865008
400,1300,0.005720005687159659,0.00086232181554792
400,1400,0.00624,0.00090066674722908
400,1500,0.01014002112064409,0.00114812783067788
400,1800,0.0027299988573546005,0.00059573412886819
400,2000,0.05297972473442949,0.0051458380476258605
400,2200,0.05287793970270149,0.0051359616031386
500,700,0.0,0.0
500,800,0.00039,0.00022516664166087
500,900,0.0,0.0
500,1000,0.0005199988548553501,0.00026000007169526
500,1100,0.0013000000000000002,0.00041109519335235
500,1200,0.0019499999999998702,0.0005034874459069
500,1300,0.00351000780403611,0.00067549956230068
500,1400,0.00390000377169663,0.0007120388944279001
500,1500,0.00935997025512354,0.0011030856956460902
500,1600,0.02929843521618364,0.00372090262860641
500,1700,0.043677678571417154,0.00452916375163304
500,1800,0.04295916973563293,0.00457946617169249
500,2000,0.040807171117632664,0.0044524285654986805
600,700,0.0,0.0
600,800,4.333335575152912e-05,4.333333505847009e-05
600,900,4.3333382983447134e-05,4.33333640973052e-05
600,1300,0.00207999857600496,0.00051999966590949
600,1400,0.0027300044290049703,0.00059573586135765
600,1500,0.0067599935137438606,0.00093744440594922
600,1800,0.03308014004929348,0.00404137797200059
600,2000,0.043594610673429145,0.0046210161530488795
700,700,0.0,0.0
700,800,0.0,0.0
700,900,0.00025999999999987,0.00018384783303874
700,1000,0.0,0.0
700,1100,0.00038999942829237,0.00022516640759495999
700,1200,0.0006499978002843,0.00029068768425528
700,1300,0.0013000000000000002,0.00041109591217656003
700,1400,0.00338000075498579,0.00066287238854356
700,1500,0.00481000270624835,0.0007907586674600601
700,1600,0.030134027316956812,0.00376674931622158
700,1700,0.02678437944770419,0.00357921371397187
700,1800,0.04719953462075124,0.004868261876463571
700,2000,0.0418712035236313,0.004568521502915371
800,800,0.0,0.0
800,900,0.0,0.0
800,1000,0.0,0.0
800,1100,0.0005199999999998701,0.00025999962585389
800,1200,0.00025999876051175004,0.00018384706179306999
800,1300,0.00038999905340591004,0.00022516639174315
800,1400,0.0022099991158804,0.0005360034042612601
800,1500,0.00247,0.00056665675378182
800,1600,0.02426278867289381,0.00343128061704285
800,1700,0.03144770824411567,0.0039006080256054603
800,1800,0.039854073672941845,0.00434844280859638
800,2000,0.01429999568737571,0.00136345067116063
900,900,0.0,0.0
900,1000,0.0,0.0
900,1100,0.0,0.0
900,1200,0.00013000000000000002,0.00012999931880484946
900,1300,0.0002600009475596,0.00018384782620581
900,1400,0.0009100013283334999,0.00034394771877219003
900,1500,0.00181999512908044,0.00048641439573363006
900,1600,0.00337999263560439,0.0006628725505758201
1000,1000,0.0,0.0
1000,1100,0.0,0.0
