ew_mass,sq_mass,eff,eff_err
150,700,0.009879997861991141,0.0011333138253590402
150,800,0.00910001887240043,0.0010876572147334401
150,900,0.00831999999999987,0.0010399996343600502
150,1000,0.00611001030809572,0.0008912349085997501
150,1100,0.0078000000000000005,0.00100697564570486
150,1200,0.0038999890028936198,0.0007120372857079301
150,1300,0.00390000822912415,0.0007120392020649699
150,1400,0.0022100003766304097,0.00053600315121808
150,1500,0.0022100020227051,0.00053600356626167
150,1600,0.00047050418594426,0.00047050349856484
150,1700,0.00129999999999987,0.0004110962161436
150,1800,0.0006500000000000001,0.00029068829012652
150,2000,0.0,0.0
150,2200,0.0,0.0
250,700,0.0009712387129595801,0.0006867664924793401
250,800,0.01052999811742918,0.00116999878933925
250,900,0.008710006493381831,0.00106409624368359
250,1000,0.00676001379307137,0.00093744480394955
250,1100,0.00415999200146829,0.00073539070257263
250,1200,0.0038999889995682204,0.0007120366906625701
250,1300,0.00390000821520999,0.0007120391297513
250,1400,0.00285999924564016,0.00060975377647626
250,1500,0.00169000067227511,0.00046872189593424
250,1600,0.00098671633786115,0.00069771365249911
250,1700,0.00097671000721125,0.0006906381207220301
250,1800,0.0014348734343491603,0.00082842497292659
250,2000,0.0,0.0
250,2200,0.0,0.0
400,700,0.00864499872208869,0.00074961651623833
400,800,0.011374966462343379,0.0008598678035829701
400,1300,0.00389999526069907,0.00071203930644522
400,1400,0.0035100044330807303,0.0006754997876767401
400,1500,0.00350999106433365,0.00067549876509375
400,1800,0.00415999200148298,0.0007353907025728901
400,2000,0.0,0.0
400,2200,0.00149654710205,0.000864031178933
500,700,0.005590012042361631,0.0008524693667779899
500,800,0.01079001820929994,0.00118435661369168
500,900,0.01026999944927138,0.00115546529722949
500,1000,0.011830005439397209,0.00124012175817543
500,1100,0.00831998855028445,0.0010399982841548302
500,1200,0.006759984598723591,0.00093744183257712
500,1300,0.00351000780403611,0.00067549956230068
500,1400,0.00442000678904642,0.0007580235384334601
500,1500,0.0032500000000000003,0.0006499998312250301
500,1600,0.00236277868230651,0.00105666630682808
500,1700,0.0009393043313095,0.0006641887383937
500,1800,0.0009763462753629001,0.0006903800028052201
500,2000,0.0,0.0
600,700,0.00173333427908966,0.00027406423646719
600,800,0.00619666778758521,0.00051819135441385
600,900,0.010486677490449289,0.0006741092493863
600,1300,0.00844999050672257,0.00104809132240475
600,1400,0.0042900088579972,0.00074679423633711
600,1500,0.00324999594608689,0.00064999955853976
600,1800,0.00098746222098511,0.00069824371221514
600,2000,0.00048982576958263,0.00048982665447339
700,700,0.00027225147283789,0.00019251101302615
700,800,0.0013000000000000002,0.00041109669281954
700,900,0.00636999654816785,0.0009100000318896501
700,1000,0.0093599988565655,0.0011030858356154
700,1100,0.010660001143415,0.00117719838813083
700,1200,0.008579964804535021,0.00105612039185315
700,1300,0.00637000473721196,0.00091000026943735
700,1400,0.00494001358971965,0.0008013741883319901
700,1500,0.00493999729375152,0.00080137312115081
700,1600,0.00376674592641893,0.0013317486764632702
700,1700,0.0,0.0
700,1800,0.0015063726714609302,0.00086970465022584
700,2000,0.00049846732759772,0.00049846653951445
800,800,0.00038999926916548,0.00022516611167777998
800,900,0.00195000298085749,0.00050348717481036
800,1000,0.00883999496749499,0.0010720063997435002
800,1100,0.01144001526030805,0.00121950733723663
800,1200,0.00961996529432978,0.00111829795008971
800,1300,0.00870998911415412,0.00106409480874918
800,1400,0.00844998231749321,0.0010480939645122701
800,1500,0.00480999999999987,0.00079075858278417
800,1600,0.00485256391958234,0.0015345122257674302
800,1700,0.0043542988434097105,0.0014514327794023201
800,1800,0.00284672070422922,0.0011621682125623701
800,2000,0.00116999899372239,0.000389999714
900,900,0.00025999999999987,0.00018384801085313
900,1000,0.00182,0.00048641589372623
900,1100,0.00923000951520986,0.00109540072869565
900,1200,0.011959957780932461,0.00124691114617316
900,1300,0.010790006159118161,0.00118435742326096
900,1400,0.01287000044283915,0.00129348342778525
900,1500,0.00714999188180069,0.00096410259469589
900,1600,0.00649999263559126,0.00091923829008063
1000,1000,0.00078038913574076,0.000318592592474
1000,1100,0.00221066481588901,0.00053616483168404
