ew_mass,sq_mass,eff,eff_err
150,700,0.009879997861991141,0.0011333138253590402
150,800,0.02222998678930562,0.00169996910718687
150,900,0.04433001381636373,0.0024006046941624803
150,1000,0.08580002290687959,0.00333976352124129
150,1100,0.14742017139082453,0.00437773583093522
150,1200,0.22970959200748728,0.0054646174569064005
150,1300,0.3057592791283975,0.00630466519584564
150,1400,0.3775181289061209,0.00700553753692455
150,1500,0.46331972760910045,0.0077609150348901595
150,1600,0.556603987337121,0.01618284145130432
150,1700,0.5618606683128335,0.00854647069632707
150,1800,0.6195803140093913,0.00897469761332547
150,2000,0.6722625084751628,0.01813616408252818
150,2200,0.6990484929652385,0.01856394808373118
250,700,0.6084786976978417,0.01718976471698902
250,800,0.01429998117423941,0.00136344920037482
250,900,0.03224002321037368,0.00204724133753685
250,1000,0.0665599103449973,0.002941559544599
250,1100,0.12557967320313,0.0040404662520508
250,1200,0.20760926407010388,0.00519510082699699
250,1300,0.2902907237602367,0.00614310050619174
250,1400,0.3871417546256437,0.007094232361906819
250,1500,0.453569733106672,0.0076788206947175095
250,1600,0.5629212750248772,0.01666498480799087
250,1700,0.6079991486909894,0.017231357374577063
250,1800,0.637562657190152,0.017462549682257678
250,2000,0.6897066047656731,0.01821972239481667
250,2200,0.7382217690937164,0.01934662195013899
400,700,0.00351000823552379,0.00047765070129946
400,800,0.006499986584933791,0.0006499985175102901
400,1300,0.23139997156443715,0.00548470549205722
400,1400,0.31291011082733805,0.0063779647101199904
400,1500,0.3961095524036811,0.0071759400409359
400,1800,0.1255796732031404,0.00404046625204729
400,2000,0.7072272668876328,0.01880101282041099
400,2200,0.727821947553002,0.019054479136595113
500,700,0.00286000802824347,0.0006097549027986001
500,800,0.00442000125581196,0.00075802456330419
500,900,0.00715000275372201,0.00096410622073922
500,1000,0.01975999083886061,0.00160274782704686
500,1100,0.049269931301742065,0.0025308261022454802
500,1200,0.08956988119011453,0.0034123391573458203
500,1300,0.17393999424968373,0.0047552284993603
500,1400,0.2693598280107717,0.005917493267224891
500,1500,0.36126982558740817,0.0068531226365864594
500,1600,0.5235903994540443,0.01572979035282044
500,1700,0.5772009878418486,0.01646461688424462
500,1800,0.6233964371657046,0.01744490782961056
500,2000,0.6670035134463858,0.01800084001585467
600,700,0.0020800011349076703,0.00030022211452610003
600,800,0.00364,0.00039715659881963
600,900,0.00580667093659302,0.00050161956159705
600,1300,0.1054299724693674,0.00370214261317303
600,1400,0.19240017715994415,0.00500120170357353
600,1500,0.28391969514589344,0.00607532329384825
600,1800,0.5919859950678499,0.01709627998757159
600,2000,0.6754718774628298,0.01818966936134634
700,700,0.00299475745641384,0.00063848679821849
700,800,0.00182000502699587,0.00048641624783492
700,900,0.00546000690370369,0.0008424961586863901
700,1000,0.007929999428299651,0.00101533138273892
700,1100,0.01377998056194292,0.0013384294425892
700,1200,0.027949829521886477,0.0019061665240851999
700,1300,0.0691599925853668,0.00299846756663636
700,1400,0.12973990789175208,0.00410684768867789
700,1500,0.22580994858132777,0.005418052174562559
700,1600,0.44541929329758617,0.01448180553999855
700,1700,0.4921633797601715,0.01534268540230361
700,1800,0.5985303088073494,0.01733598091823546
700,2000,0.6744255186546764,0.01833516760376834
800,800,0.00324998903750027,0.00064999857594776
800,900,0.00390000596171498,0.00071203995097118
800,1000,0.0061100113231614605,0.0008912350958743701
800,1100,0.00897000763015396,0.00107986057783656
800,1200,0.014299975210250341,0.00136344827342438
800,1300,0.02990006152858517,0.00197154598504032
800,1400,0.06538989920975344,0.00291559636362969
800,1500,0.13077959438366862,0.004123271975504761
800,1600,0.40324641032242997,0.01398849128007799
800,1700,0.45671770707588766,0.01486488995859335
800,1800,0.5185780276288071,0.01568568821822899
800,2000,0.5809700737468311,0.00869056513627952
900,900,0.00455000402542673,0.0007690897226517701
900,1000,0.00480998590310745,0.0007907594790097601
900,1100,0.00689002854562971,0.00094641369589702
900,1200,0.009099962747881591,0.00108765375285866
900,1300,0.01521001752983947,0.0014061669266819201
900,1400,0.030549984502801008,0.00199286405401863
900,1500,0.07123989283984586,0.0030432211018734203
900,1600,0.1515798895340886,0.00443907561437496
1000,1000,0.00312155654296304,0.00063718554185533
1000,1100,0.00572171585817663,0.00086258104952565
