ew_mass,sq_mass,eff,eff_err
150,700,0.0003000006666578,0.0001732055939272
150,800,0.0006,0.0002449491908991
150,900,0.000600000872513,0.0002449493229954
150,1000,0.0012,0.0003464101352938
150,1100,0.0015,0.00038729783446
150,1200,0.001800009639482,0.000424266503261
150,1300,0.0031000034437977,0.0005567757070568
150,1400,0.0023000036412607,0.0004795828293922
150,1500,0.003,0.0005477219623173
150,1600,0.0031999989953252,0.0005656862240233
150,1700,0.0032000029190051,0.0005656857173235
150,1800,0.003400004697168,0.0005830951899758
150,2000,0.0035000010706248,0.000591607949631
150,2200,0.0046000074869812,0.000678232314816
250,700,0.0004999983018325,0.0002236058701904
250,800,0.0007000007644036,0.0002645749784035
250,900,0.0007999999999999,0.0002828421817772
250,1000,0.0014999978078346,0.0003872974639839
250,1100,0.0017999971725043,0.0004242625903984
250,1200,0.0013999993334633,0.0003741655531768
250,1300,0.0016999993169802,0.0004123104822899
250,1400,0.0023000018036486,0.0004795835065434
250,1500,0.0029,0.0005385162639682
250,1600,0.0036999949505267,0.0006082757763544
250,1700,0.0035666493859958,0.0003448013696733
250,1800,0.0027999995276168,0.0005291496127416
250,2000,0.0036000065858794,0.0005999999063306
250,2200,0.0039999867736725,0.0006324542952173
400,700,0.0007999994730691,0.0002828427233551
400,800,0.0012000004552347,0.0003464107326382
400,1300,0.0021999981986771,0.0004690411924992
400,1400,0.0028999969889715,0.0005385162285687
400,1500,0.0030000049088182,0.0005477238692408
400,1800,0.0038999943658003,0.0006245006896124
400,2000,0.0037000070766443,0.0006082762959645
400,2200,0.0045000080970378,0.0006708224933529
500,700,0.0003999999999999,0.0001999996783635
500,800,0.0003,0.000173204916169
500,900,0.0006999971628249,0.000264574872757
500,1000,0.001099998498859,0.0003316612695885
500,1100,0.0010999997663864,0.0003316623695676
500,1200,0.0016000003559952,0.0003999999385557
500,1300,0.0023999957343525,0.0004898970642478
500,1400,0.002,0.0004472142007821
500,1500,0.0016999977163986,0.0004123096352588
500,1600,0.0038999885289147,0.000624498284841
500,1700,0.0033000021115507,0.0005744566463829
500,1800,0.0042999952742264,0.0006557435281315
500,2000,0.003100000327369,0.0005567763776937
600,700,0.0,0.0
600,800,0.0005,0.0002236068273184
600,900,0.0008000012459819,0.0002828426506926
600,1300,0.0011999993326021,0.0003464097598739
600,1400,0.0021999990244665,0.0004690420006344
600,1500,0.0022999957776801,0.0004795818598711
600,1800,0.0031000091700332,0.0005567765516023
600,2000,0.0039000199591678,0.00062450097963
700,700,0.0,0.0
700,800,0.0,0.0
700,900,0.0,0.0
700,1000,0.0002,0.0001414212989639
700,1100,0.0004999990860154,0.0002236071066983
700,1200,0.0018,0.0004242638373403
700,1300,0.0017,0.0004123105572857
700,1400,0.0012999988371012,0.0003605553847841
700,1500,0.0018999925019393,0.0004358887970227
700,1600,0.003599996220678,0.0006000004231755
700,1700,0.0037999949906873,0.0006164413269679
700,1800,0.0033999938174536,0.0005830959789492
700,2000,0.00340000816723,0.000583096154916
800,800,0.000199999304725,0.0001414210363474
800,900,0.0,0.0
800,1000,0.0002000006306032,0.0001414212715341
800,1100,0.0003999995266753,0.0001999998113335
800,1200,0.0006999993017875,0.0002645748601535
800,1300,0.001,0.0003162278371499
800,1400,0.001299997066976,0.0003605547804724
800,1500,0.0022000033300574,0.0004690416433423
800,1600,0.0020000058887327,0.0004472134873454
800,1700,0.003599997527008,0.0006000002566504
800,1800,0.0030000057174474,0.0005477220256558
800,2000,0.0042,0.0006480743882215
900,900,0.0003,0.0001732051002403
900,1000,0.0001,9.9999867277157e-05
900,1100,0.0001,9.99998418864486e-05
900,1200,0.0007000008731951,0.0002645751031696
900,1300,0.0006999993678199,0.0002645758633962
900,1400,0.0012000018043395,0.0003464105045105
900,1500,0.0015000006396404,0.0003872981403787
900,1600,0.0014999982025225,0.0003872978009938
1000,1000,0.0001,9.999975714571336e-05
1000,1100,0.0,0.0
