ew_mass,sq_mass,eff,eff_err
150,700,0.0,0.0
150,800,0.0,0.0
150,900,0.0,0.0
150,1000,0.0001,0.0001000000380272
150,1100,0.0002999993943136,0.0001732048570785
150,1200,0.0,0.0
150,1300,0.0001,9.99999630434978e-05
150,1400,0.0001,9.999989888509764e-05
150,1500,0.0001,9.999996913320626e-05
150,1600,0.0002,0.0001414212437528
150,1700,0.0002,0.0001414213822615
150,1800,0.0001,9.999996656572924e-05
150,2000,0.0001,0.0001000000279019
150,2200,0.0003999991681123,0.0001999998548641
250,700,0.0,0.0
250,800,0.0,0.0
250,900,0.0,0.0
250,1000,0.0001999995615669,0.0001414209930178
250,1100,0.0001,9.999976259631348e-05
250,1200,0.0,0.0
250,1300,0.0001,0.0001000000234099
250,1400,9.999999999999998e-05,0.0001000002037539
250,1500,0.0002,0.0001414212281173
250,1600,0.0002,0.0001414212935381
250,1700,0.0001666663966561,7.453530506652212e-05
250,1800,0.0003999997638076,0.0001999998541421
250,2000,0.0003000009408397,0.0001732049738633
250,2200,0.000199999338683,0.0001414209345593
400,700,0.0,0.0
400,800,0.0,0.0
400,1300,0.0001,9.99998260607023e-05
400,1400,0.0001,9.99998837045206e-05
400,1500,0.0001,0.0001000002394888
400,1800,0.0002999995665998,0.0001732052811906
400,2000,0.0001,9.999990960758668e-05
400,2200,0.0005000010796061,0.0002236072082031
500,700,0.0,0.0
500,800,9.999999999999998e-05,9.999976675698857e-05
500,900,0.0,0.0
500,1000,0.0001,9.999981458827844e-05
500,1100,0.0001,9.999994838877416e-05
500,1200,0.0001,0.0001000000242418
500,1300,0.000199999733396,0.0001414212266079
500,1400,0.0001,9.999998082733812e-05
500,1500,0.0001999994291,0.0001414210652884
500,1600,0.0001999991806367,0.0001414209948987
500,1700,0.0001,0.0001000000122396
500,1800,0.0001,0.0001000000697879
500,2000,0.0004000013094617,0.0001999999357409
600,700,0.0,0.0
600,800,0.0,0.0
600,900,0.0,0.0
600,1300,0.0001,9.999999541164764e-05
600,1400,0.0004000004877667,0.0001999998566408
600,1500,0.0001,9.999980586308868e-05
600,1800,0.0001,0.0001000000655794
600,2000,0.0002000003838299,0.0001414214364269
700,700,0.0,0.0
700,800,0.0,0.0
700,900,0.0,0.0
700,1000,0.0002,0.0001414212989639
700,1100,0.0002,0.0001414213153558
700,1200,0.0,0.0
700,1300,0.0003999999999999,0.0001999995975684
700,1400,0.0002,0.0001414214847184
700,1500,0.0001,9.999951080387864e-05
700,1600,0.0001999995275843,0.0001414212368007
700,1700,9.999999999999998e-05,9.999996609287496e-05
700,1800,0.0,0.0
700,2000,0.0004000009074687,0.000200000361416
800,800,0.0,0.0
800,900,0.0,0.0
800,1000,0.0,0.0
800,1100,0.0,0.0
800,1200,0.0001999996508939,0.0001414210882939
800,1300,0.0,0.0
800,1400,0.0002,0.0001414213224613
800,1500,9.999999999999998e-05,0.0001000000340512
800,1600,0.0001,9.999997581590975e-05
800,1700,0.0001,0.0001000000427749
800,1800,0.0001,9.999990289801746e-05
800,2000,0.0003,0.0001732048029725
900,900,0.0,0.0
900,1000,0.0,0.0
900,1100,0.0001,9.99998418864486e-05
900,1200,0.0,0.0
900,1300,0.0001,0.0001000002767795
900,1400,0.0,0.0
900,1500,0.0,0.0
900,1600,0.0,0.0
1000,1000,0.0,0.0
1000,1100,0.0001,0.0001000000142136
