ew_mass,sq_mass,eff,eff_err
150,700,0.0,0.0
150,800,0.0,0.0
150,900,0.0,0.0
150,1000,0.0001999999999999,0.0001414215067402
150,1100,0.0002999993943136,0.0001732048570785
150,1200,0.0002000009639482,0.0001414220947493
150,1300,0.0001,9.99999630434978e-05
150,1400,0.0002999990896841,0.0001732049056211
150,1500,0.0004,0.0001999998799171
150,1600,0.0008000010046656,0.0002828426659363
150,1700,0.0009000021892527,0.0003000005433636
150,1800,0.0007999997864944,0.0002828426179077
150,2000,0.001,0.0003162278542506
150,2200,0.0014999979202795,0.0003872976626948
250,700,0.0001,9.999958518289592e-05
250,800,0.0,0.0
250,900,0.0003,0.0001732051078788
250,1000,0.0003999991231348,0.0001999994863298
250,1100,0.0001,9.999976259631348e-05
250,1200,0.0003000003332669,0.0001732051984562
250,1300,0.0001999993169771,0.0001414212862566
250,1400,0.0004000015459885,0.000200000075552
250,1500,0.0009,0.0002999999715536
250,1600,0.001,0.0003162276258174
250,1700,0.0006666639665615,0.000149070654149
250,1800,0.000699999291423,0.0002645750699388
250,2000,0.0009000004704205,0.0003000001836804
250,2200,0.0013999967298378,0.0003741647327198
400,700,0.0001,0.0001000000038467
400,800,0.0,0.0
400,1300,0.0004999988741752,0.0002236066355445
400,1400,0.000199999665441,0.0001414211126241
400,1500,0.0005000024544091,0.0002236073332632
400,1800,0.001,0.0003162276919658
400,2000,0.0014999985846711,0.0003872985017446
400,2200,0.0026000064776269,0.0005099029444827
500,700,0.0,0.0
500,800,9.999999999999998e-05,9.999976675698857e-05
500,900,0.0001,9.99999502671329e-05
500,1000,0.0001999992494295,0.0001414208948485
500,1100,0.0002999992991573,0.0001732049519773
500,1200,0.0003000001779954,0.0001732050312862
500,1300,0.0005999989335856,0.000244948604668
500,1400,0.0006000015723528,0.0002449489903964
500,1500,0.0007999965745979,0.00028284224581
500,1600,0.0001999991806367,0.0001414209948987
500,1700,0.0004000004692331,0.0001999999556729
500,1800,0.0009000010126654,0.0003000003043165
500,2000,0.0012000006547319,0.0003464108236317
600,700,0.0,0.0
600,800,0.0,0.0
600,900,0.0001,0.0001000000266715
600,1300,0.0001999999999999,0.0001414211922681
600,1400,0.0001,0.0001000000472786
600,1500,0.0005999978888423,0.0002449480943937
600,1800,0.001099999202606,0.000331662277167
600,2000,0.0008000015353198,0.0002828431332903
700,700,0.0,0.0
700,800,0.0,0.0
700,900,0.0002,0.0001414215130833
700,1000,0.0001,0.0001000000803756
700,1100,0.0001,9.99999710920584e-05
700,1200,0.0001,0.0001000001104093
700,1300,0.0006,0.0002449486446496
700,1400,0.0004000005814512,0.0002000000126578
700,1500,0.0002999991668819,0.0001732044338103
700,1600,0.0005,0.0002236066089039
700,1700,0.0007999999999999,0.0002828424194202
700,1800,0.0004000009511607,0.0002000002541533
700,2000,0.0009000013612059,0.0003000004563433
800,800,0.0,0.0
800,900,0.0001,9.9999985353555e-05
800,1000,0.0001,0.0001000000022405
800,1100,0.0001999997633376,0.0001414213218413
800,1200,0.0001,9.99999324105133e-05
800,1300,0.0003,0.0001732049704756
800,1400,0.0001,9.99998417006266e-05
800,1500,0.0004000004162576,0.000199999905661
800,1600,0.0004999992639079,0.0002236067436731
800,1700,0.0007000012364959,0.0002645752442781
800,1800,0.0008999988565086,0.0003000002535156
800,2000,0.0006,0.0002449491801459
900,900,0.0,0.0
900,1000,0.0,0.0
900,1100,0.0001,9.99998418864486e-05
900,1200,0.0005,0.0002236068959198
900,1300,0.0005000012643601,0.0002236074166478
900,1400,0.0,0.0
900,1500,0.0004999993603628,0.000223606807585
900,1600,0.0004999999999999,0.0002236062488401
1000,1000,0.0001,9.999975714571336e-05
1000,1100,0.0,0.0
