ew_mass,sq_mass,eff,eff_err
150,700,0.0011000053332613,0.0003316634170151
150,800,0.0009999999999999,0.0003162279649717
150,900,0.0016000008725143,0.0003999997764548
150,1000,0.0005,0.0002236068827825
150,1100,0.0011999975772567,0.0003464096082553
150,1200,0.001100009639482,0.0003316640709191
150,1300,0.001,0.0003162276491489
150,1400,0.0008999995448427,0.000299999610335
150,1500,0.0012,0.0003464101219639
150,1600,0.0006000020093343,0.0002449486764326
150,1700,0.0006,0.0002449486932422
150,1800,0.0007000002135055,0.0002645750426468
150,2000,0.0008999993576251,0.0002999997016259
150,2200,0.0002999995840548,0.0001732045804884
250,700,0.0005999974527459,0.0002449479581877
250,800,0.0008,0.0002828428443504
250,900,0.0011,0.0003316627761451
250,1000,0.0012999978078346,0.0003605543347985
250,1100,0.0012999971725043,0.0003605540636992
250,1200,0.0011000001110872,0.0003316625803839
250,1300,0.0013999986339502,0.0003741654366359
250,1400,0.0009999999999999,0.0003162284103434
250,1500,0.001,0.0003162277103815
250,1600,0.001199997755798,0.0003464100988032
250,1700,0.0010999983799349,0.0001914846452202
250,1800,0.0007999995276168,0.0002828427527456
250,2000,0.0005,0.000223606783459
250,2200,0.0004999972141587,0.0002236061310184
400,700,0.0008999997365305,0.0002999998669262
400,800,0.0012000004552347,0.0003464107326382
400,1300,0.0012999984238459,0.0003605549925502
400,1400,0.001,0.0003162273982581
400,1500,0.0009000024544091,0.0003000007184664
400,1800,0.001,0.0003162276919658
400,2000,0.0008,0.000282842740095
400,2200,0.0002000005398024,0.0001414217188512
500,700,0.0003999999999999,0.0001999996783635
500,800,0.0007999999999999,0.0002828423459696
500,900,0.0007999981085499,0.0002828424927547
500,1000,0.001,0.0003162271796929
500,1100,0.0013000051395113,0.0003605549225393
500,1200,0.0013999996440047,0.0003741655753586
500,1300,0.0007999994667936,0.0002828422019195
500,1400,0.0016999992138235,0.0004123097152479
500,1500,0.001,0.0003162271154358
500,1600,0.0012999934450941,0.0003605542528603
500,1700,0.0011000007038526,0.0003316625611213
500,1800,0.0011000006751074,0.0003316626246083
500,2000,0.0006999990179031,0.0002645750967326
600,700,0.0003999990654232,0.0001999999421342
600,800,0.0008000007760785,0.0002828429628202
600,900,0.001199998754018,0.0003464103659463
600,1300,0.0017000010010988,0.0004123110972985
600,1400,0.0011000019510669,0.0003316627793097
600,1500,0.001,0.0003162271521017
600,1800,0.001,0.0003162279733976
600,2000,0.00059999923234,0.0002449494138975
700,700,0.0,0.0
700,800,0.0003999995061242,0.0001999996331538
700,900,0.001,0.000316228116735
700,1000,0.0071999991204605,0.0008485275658599
700,1100,0.0012,0.0003464101578333
700,1200,0.0013999999999999,0.0003741657550436
700,1300,0.0015,0.0003872979166796
700,1400,0.0016000034886963,0.000400000447918
700,1500,0.0017999933350536,0.0004242624840225
700,1600,0.0011999948034267,0.0003464100702848
700,1700,0.0011999999999999,0.0003464098025966
700,1800,0.001,0.0003162277208497
700,2000,0.0006999995462656,0.0002645757064814
800,800,0.0001,9.999977380385347e-05
800,900,0.0005,0.000223606764999
800,1000,0.0006000003153021,0.0002449490812325
800,1100,0.0006999997633376,0.0002645753313746
800,1200,0.0013999986035772,0.0003741660069404
800,1300,0.0013999979663026,0.0003741656155864
800,1400,0.0011000014665119,0.0003316620350721
800,1500,0.001300002913801,0.0003605555206369
800,1600,0.0004999992639079,0.0002236067436731
800,1700,0.0009000004121657,0.0003000001283245
800,1800,0.0003000005717447,0.0001732049125714
800,2000,0.0014,0.0003741657918465
900,900,0.0,0.0
900,1000,0.0006999997988864,0.0002645747799543
900,1100,0.0007000002990451,0.0002645747127769
900,1200,0.002,0.0004472129393739
900,1300,0.0019000082183291,0.0004358911008083
900,1400,0.0011000054130129,0.0003316633186848
900,1500,0.0011999992324363,0.0003464099877779
900,1600,0.0011999985620157,0.0003464096842233
1000,1000,0.0002999994660605,0.0001732048658692
1000,1100,0.0002,0.0001414211749642
