ew_mass,sq_mass,eff,eff_err
150,700,6.829823562890348e-05,3.943211579895644e-05
150,800,6.829823562890348e-05,3.943211579895644e-05
150,900,6.829823562890348e-05,3.943211579895644e-05
150,1000,6.829823562890348e-05,3.943211579895644e-05
150,1100,6.829823562890348e-05,3.943211579895644e-05
150,1200,6.829823562890348e-05,3.943211579895644e-05
150,1300,6.829823562890348e-05,3.943211579895644e-05
150,1400,6.829823562890348e-05,3.943211579895644e-05
150,1500,6.829823562890348e-05,3.943211579895644e-05
150,1600,6.829823562890348e-05,3.943211579895644e-05
150,1700,6.829823562890348e-05,3.943211579895644e-05
150,1800,6.829823562890348e-05,3.943211579895644e-05
150,2000,6.829823562890348e-05,3.943211579895644e-05
150,2200,6.829823562890348e-05,3.943211579895644e-05
250,700,0.0,0.0
250,800,0.0,0.0
250,900,0.0,0.0
250,1000,0.0,0.0
250,1100,0.0,0.0
250,1200,0.0,0.0
250,1300,0.0,0.0
250,1400,0.0,0.0
250,1500,0.0,0.0
250,1600,0.0,0.0
250,1700,0.0,0.0
250,1800,0.0,0.0
250,2000,0.0,0.0
250,2200,0.0,0.0
400,700,0.0,0.0
400,800,0.0,0.0
400,1300,0.0,0.0
400,1400,0.0,0.0
400,1500,0.0,0.0
400,1800,0.0,0.0
400,2000,0.0,0.0
400,2200,0.0,0.0
500,700,0.0,0.0
500,800,0.0,0.0
500,900,0.0,0.0
500,1000,0.0,0.0
500,1100,0.0,0.0
500,1200,0.0,0.0
500,1300,0.0,0.0
500,1400,0.0,0.0
500,1500,0.0,0.0
500,1600,0.0,0.0
500,1700,0.0,0.0
500,1800,0.0,0.0
500,2000,0.0,0.0
600,700,0.0002642013187025,0.0002642014724313
600,800,0.0002642013187025,0.0002642014724313
600,900,0.0002642013187025,0.0002642014724313
600,1300,0.0002642013187025,0.0002642014724313
600,1400,0.0002642013187025,0.0002642014724313
600,1500,0.0002642013187025,0.0002642014724313
600,1800,0.0002642013187025,0.0002642014724313
600,2000,0.0002642013187025,0.0002642014724313
700,700,0.0001326616870447,0.000132661073741
700,800,0.0001326616870447,0.000132661073741
700,900,0.0001326616870447,0.000132661073741
700,1000,0.0001326616870447,0.000132661073741
700,1100,0.0001326616870447,0.000132661073741
700,1200,0.0001326616870447,0.000132661073741
700,1300,0.0001326616870447,0.000132661073741
700,1400,0.0001326616870447,0.000132661073741
700,1500,0.0001326616870447,0.000132661073741
700,1600,0.0001326616870447,0.000132661073741
700,1700,0.0001326616870447,0.000132661073741
700,1800,0.0001326616870447,0.000132661073741
700,2000,0.0001326616870447,0.000132661073741
800,800,0.0,0.0
800,900,0.0,0.0
800,1000,0.0,0.0
800,1100,0.0,0.0
800,1200,0.0,0.0
800,1300,0.0,0.0
800,1400,0.0,0.0
800,1500,0.0,0.0
800,1600,0.0,0.0
800,1700,0.0,0.0
800,1800,0.0,0.0
800,2000,0.0,0.0
900,900,0.0002663818819071,0.000266381899452
900,1000,0.0002663818819071,0.000266381899452
900,1100,0.0002663818819071,0.000266381899452
900,1200,0.0002663818819071,0.000266381899452
900,1300,0.0002663818819071,0.000266381899452
900,1400,0.0002663818819071,0.000266381899452
900,1500,0.0002663818819071,0.000266381899452
900,1600,0.0002663818819071,0.000266381899452
1000,1000,0.0,0.0
1000,1100,0.0,0.0
